,요리명,재료
177356,콩나물찌개,"['콩나물 200g', '파 2줌', '돼지고기 다짐육 1종이컵', '양파 1/2개', '표고버섯 4개', '홍고추', '파', '식용유  고추가루 소주컵 1컵', '진간장', '소금', '다진마늘 1큰술']"
277288,묵나물,"['취나물 2 줌', '국간장 2큰술', '참기름 3큰술', '식용유 1큰술', '다진마늘 1큰술', '대파 1대', '갈은깨 1큰술  고구마줄기 2 줌', '국간장 2큰술', '참기름 3큰술', '식용유 1큰술', '다진마늘 1큰술', '대파 1대', '갈은깨 1큰술']"
106677,딸기크레이프케익,"['박력분 200g', '우유 500mL', '녹인 버터 70g', '달걀 4개', '설탕 50g', '소금 1꼬집', '딸기 1kg', '생크림 500mL']"
64712,함박치즈롤,"['돼지고기 앞다리살 150g', '소고기 양지살 150g', '새송이버섯', '양배추', '양파', '마늘', '식용유', '모짜렐라치즈', '밀가루', '계란', '스테이크소스  간장 1', '참기름 1', '설탕 0.5', '소금 0.5', '후추 0.5', '파마산치즈가루 0.3', '밀가루 1']"
248090,사과잼,"['사과 405g(3개)', '설탕 1+1/2컵', '물 2컵', '시나몬 가루 1/2큰술']"
195073,삼색나물,"['시금치 200g', '콩나물 200g', '고사리 200g  굵은소금 약간', '맛소금 약간', '들기름 약간']"
224166,감자삶는법,"['감자 중간크기로 15개', '설탕 2큰술', '꿀 4큰술', '물 3머그컵', '슬라이스아몬드', '통깨']"
257397,돌나물사과겉절이,"['돌나물', '사과 1개', '청포도', '고춧가루 1~2큰술', '국간장 1~2큰술', '매실액 1큰술', '양파 청 1큰술', '참깨']"
157788,주꾸미덮밥,"['주꾸미 8마리', '대파 1대', '청양고추 1개', '홍고추 1개  간장 3큰술', '고추장 1큰술', '고춧가루 1.5큰술', '다진마늘 2작은술', '다진생강 조금', '물엿 1큰술반', '후춧가루 조금', '청주 1큰술', '통깨 조금', '참기름 1큰술']"
294679,무나물볶음,"['무 500g', '맛소금 2/3-1작은 술', '깨 1큰술', '다진 마늘 2/3큰술', '파 1대 ?']"
195582,찹스테이크,"['소고기(호주산 척아이롤스테이크용) 400g', '피망 색깔별 1/2개씩', '양파 1/2개', '스테이크소스 5수저', '케찹 2수저', '굴소스 2수저', '올리고당 1수저']"
211032,파김치,"['쪽파 약 3단', '다진 마늘 3큰 술', '다진 생강 1/3큰 술', '고춧가루 1.5~2컵', '멸치 액젓 1.5~2컵', '찹쌀풀 2컵  찹쌀가루 2큰술', '물 3컵']"
37956,길거리토스트,"['식빵 4장', '두부 1/5모', '양파 1/4개', '홍파프리카 약간', '청파프리카 약간', '달걀 1개', '슬라이스햄 1장', '슬라이스치즈 1장  케첩 약간', '소금 약간']"
783,크래미깻잎전,"['크래미8개', '깻잎4장', '부침가루1스푼', '계란1개', '소금1꼬집', '식용유적당량']"
250499,북어초회,"['북어포 1/2마리', '오이 10g', '양파 1/8개', '파 4cm', '마늘 1쪽  고춧가루 1작은술', '고추장 1작은술', '소금 1/2작은술', '설탕 2작은술', '식초 2작은술', '물엿 1작은술', '통깨 약간']"
204561,또띠아치즈피자,"['또띠아 1장', '치즈 또띠아에 다 덮혀질 정도', '옥수수', '각종채소(맘대로) 적당히  피자소스or토마토 소스 1T']"
68033,총각김치된장찌개,"['총각김치 400g(한대접반)', '파 1대', '양파 1/2개', '멸치육수 3+1/2컵  된장 1.5T', '다진마늘 0.5T', '참기름 약간  생청국장 2T']"
275942,시나몬꿀차,"['(동서벌꿀)꿀', '박력분 (100g씩) 2그릇', '실온 우유 (200ml씩) 2그릇', '실온계란 2개', '버터 30g씩 2개', '설탕 10g씩 2개', '베이킹파우더 6g씩 2개', '소금 2g씩 2개', '팥앙금 많이', '떡(절편)', '쑥가루 5g', '시나몬가루']"
61798,묵은지낫또쌈밥,"['생나또 1팩', '묵은지 10장  밥 2공기']"
299488,깍두기,"['무 1개', '소금 1/4컵', '물 1/3컵', '소주 1/4컵', '찹쌀 1큰술', '물 60ml', '다진 생강 1작은술', '다진 마늘 1.5큰술', '새우젓 1.5큰술', '매실청 1.5큰술', '대파 약간', '고춧가루 1/3컵']"
270535,잔멸치볶음,"['잔멸치 밥그릇 1공기', '청양고추 1개  진간장 3큰술', '물엿 3큰술', '다진마늘 2큰술']"
67459,아욱된장국,"['아욱 1줌', '조각다시마 3개', '쌀뜨물  된장 2T', '간장 2T', '고추가루 1T', '마늘 0.5T', '소금']"
58893,라뽁이,"['떡볶이떡 1컵', '라면 1/2개', '어묵 2장', '삶은 달걀 2개', '대파 1/2줄기', '물 3컵  고추가루 1컵', '고추장 2/3컵', '설탕 2/3컵', '간장 1/2컵', '물 1컵', '다진 마늘 2큰술']"
274188,닭꼬치구이,"['닭다리살(닭가슴살/닭안심) 400g', '대파 2대', '우유 적당량', '산적대 적당량', '식용유 약간  맛술 2큰술', '후추 약간  맛술 2큰술', '올리고당 2큰술', '간장 1큰술', '케첩 1큰술', '고추장 1큰술', '고춧가루 1큰술', '다진마늘 1/2큰술', '후추 약간  쪽파 약간']"
283016,옥수수케이크,"['시판용 치즈 케이크 2개', '옥수수통조림 3숟가락', '휘핑한 생크림 150g  우유 200g', '달걀 노른자 45g', '설탕 30g', '옥수수통조림 100g', '크림치즈 200g']"
150189,오코노미야끼,"['양배추', '대파', '당근', '중력분', '계란', '가스오부시', '파래가루', '밥새우', '오징어', '새우살  오코노미야끼소스', '마요네즈']"
187565,전복죽,"['전복 7마리', '불린 쌀 2인분', '소금', '참기름 조금', '물']"
101845,표고버섯볶음,"['표고버섯 5개', '양파 1/4개  올리브 2', '들기름 1', '소금 조금', '후추 조금']"
238469,배추국,"['배추 1/2포기', '소 내장 600g', '다진마늘 1T', '대파 100g', '양파 1개', '된장 1T', '고추가루 1t']"
278012,간장삼겹,"['삼겹살 600g', '다진마늘 2스푼', '청양고추 2개', '홍고추 1개', '대파 3대  진간장 3스푼', '생강청 1스푼', '맛술 2스푼', '조청 3스푼', '전분 1티스푼  식초 1스푼', '설탕 1/2스푼', '소금 약간']"
85176,오삼불고기,"['오징어 1마리', '삼겹살', '대파', '양파', '고춧가루 3스푼', '고추장 1스푼', '설탕 1.5스푼', '다진마늘 1스푼', '진간장 3스푼', '물 1/2컵', '참기름']"
123238,떡만두국,"['떡국떡 2줌', '만두 2개', '대파 1줌', '다진마늘 1/2스푼', '사골곰탕 1봉지', '계란 1개']"
6428,백오이나물볶음,"['백오이5개  소금1.5큰술(절일 때)', '볶은 깨2큰술(갈아준 것)', '올리브유2큰술', '참기름1큰술']"
5176,칠리새우볶음,"['새우살200g', '옥수수콘2숟가락(40g)', '양파1/2개', '식용유3숟가락', '소금약간', '후추약간', '미림1/2숟가락(8g)  고춧가루2숟가락(20g)', '케찹2숟가락(30g)', '식초1숟가락(10g)', '물엿1숟가락(15g)', '물2숟가락(30g)']"
53170,카레,"['감자 3개', '양파 1개', '당근 1/2개', '소시지', '돼지고기  고형카레 6조각 (6인분)', '물 850ml']"
